//Palssonse.colicoremodel
//name,reactants,products,reverse,forward
GAPD,[c]:g3p+nad+pi,13dpg+h+nadh,-inf,inf
GLCpts,glc-D[e]+pep[c],g6p[c]+pyr[c],0,inf
GLNS,[c]:atp+glu-L+nh4,adp+gln-L+h+pi,0,inf
GLNabc,atp[c]+gln-L[e]+h2o[c],adp[c]+gln-L[c]+h[c]+pi[c],0,inf
GLUDy,[c]:glu-L+h2o+nadp,akg+h+nadph+nh4,-inf,inf
GLUN,[c]:gln-L+h2o,glu-L+nh4,0,inf
GLUSy,[c]:akg+gln-L+h+nadph,(2)glu-L+nadp,0,inf
GLUt2r,glu-L[e]+h[e],glu-L[c]+h[c],-inf,inf
GND,[c]:6pgc+nadp,co2+nadph+ru5p-D,0,inf
H2Ot,h2o[e],h2o[c],-inf,inf
ICDHyr,[c]:icit+nadp,akg+co2+nadph,-inf,inf
ICL,[c]:icit,glx+succ,0,inf
LDH_D,[c]:lac-D+nad,h+nadh+pyr,-inf,inf
MALS,[c]:accoa+glx+h2o,coa+h+mal-L,0,inf
MALt2_2,(2)h[e]+mal-L[e],(2)h[c]+mal-L[c],0,inf
MDH,[c]:mal-L+nad,h+nadh+oaa,-inf,inf
ME1,[c]:mal-L+nad,co2+nadh+pyr,0,inf
ME2,[c]:mal-L+nadp,co2+nadph+pyr,0,inf
NADH16,(4)h[c]+nadh[c]+q8[c],(3)h[e]+nad[c]+q8h2[c],0,inf
NADTRHD,[c]:nad+nadph,nadh+nadp,0,inf
NH4t,nh4[e],nh4[c],-inf,inf
O2t,o2[e],o2[c],-inf,inf
PDH,[c]:coa+nad+pyr,accoa+co2+nadh,0,inf
PFK,[c]:atp+f6p,adp+fdp+h,0,inf
PFL,[c]:coa+pyr,accoa+for,0,inf
PGI,[c]:g6p,f6p,-inf,inf
PGK,[c]:3pg+atp,13dpg+adp,-inf,inf
PGL,[c]:6pgl+h2o,6pgc+h,0,inf
PGM,[c]:2pg,3pg,-inf,inf
PIt2r,h[e]+pi[e],h[c]+pi[c],-inf,inf
PPC,[c]:co2+h2o+pep,h+oaa+pi,0,inf
PPCK,[c]:atp+oaa,adp+co2+pep,0,inf
PPS,[c]:atp+h2o+pyr,amp+(2)h+pep+pi,0,inf
PTAr,[c]:accoa+pi,actp+coa,-inf,inf
PYK,[c]:adp+h+pep,atp+pyr,0,inf
PYRt2r,h[e]+pyr[e],h[c]+pyr[c],-inf,inf
RPE,[c]:ru5p-D,xu5p-D,-inf,inf
RPI,[c]:r5p,ru5p-D,-inf,inf
SUCCt2_2,(2)h[e]+succ[e],(2)h[c]+succ[c],0,inf
SUCCt3,h[e]+succ[c],h[c]+succ[e],0,inf
SUCDi,[c]:q8+succ,fum+q8h2,0,inf
SUCOAS,[c]:atp+coa+succ,adp+pi+succoa,-inf,inf
TALA,[c]:g3p+s7p,e4p+f6p,-inf,inf
THD2,(2)h[e]+nadh[c]+nadp[c],(2)h[c]+nad[c]+nadph[c],0,inf
TKT1,[c]:r5p+xu5p-D,g3p+s7p,-inf,inf
TKT2,[c]:e4p+xu5p-D,f6p+g3p,-inf,inf
TPI,[c]:dhap,g3p,-inf,inf
